# T     tau
291	20.8
#674	10.1
#779	8.2
#877	8.2
#975	10.7
#1073	9.0
3	59.4
4	58.0
5	66.2
6	64.7
11	63.1
12	57.4
18	60.6
22	53.1
22	58.4
24	56.8
31	52.1
37	56.3
39	58.1
49	53.7
57	46.9
75	45.8
77	58.1
77	40.8
292	22.0
292	23.1
74	61.8
122	49.0
195	30.6
298	22.3
468	16.4
#669	9.6
#834	9.3
70	41.5
207	31.7
285	25.0
463	20.4
564	16.8
#660	14.2
16	61.7
28	48.9
66	42.7
179	27.5
286	25.3
425	18.4
595	15.0
#633	15.4
#712	11.3
#803	12.1
#883	12.8
#1973	9.1
